Date,Open,High,Low,Close
2004.06.01,384,404.6,381.1,393.3
2004.07.01,391.6,408.6,384.5,390.5
2004.08.01,390.3,413.8,388.1,409.3
2004.09.01,409.6,418.6,394.3,417.8
2004.10.01,417.8,430.2,409.1,428.1
2004.11.01,429.6,454.8,416.8,450.3
2004.12.01,450.7,456.3,431.5,437
2005.01.01,437.1,437.3,416.5,422.1
2005.02.01,422.1,437.7,409.8,435
2005.03.01,435,446.6,423.1,427.8
2005.04.01,427.7,437.2,421.7,434
2005.05.01,433.8,434.1,413.3,416.8
2005.06.01,416.6,443.2,414.2,434.5
2005.07.01,434.2,436.2,417.8,429.3
2005.08.01,429.2,449.1,428.6,434.6
2005.09.01,434.8,475,434.3,468.8
2005.10.01,467.3,480,459.5,465.2
2005.11.01,465.6,502.2,454.8,498.5
2005.12.01,491.5,540.5,489.3,514.6
2006.01.01,516.8,572.2,516.3,568.7
2006.02.01,569.2,574.7,534.6,562
2006.03.01,562.1,589.1,533.7,583.5
2006.04.01,572.2,655.5,572.2,653.7
2006.05.01,654.1,729.7,635.6,642.7
2006.06.01,643.1,645.2,542.5,615.2
2006.07.01,617,676,602.1,635.7
2006.08.01,635.2,655.5,607,624.6
2006.09.01,626,640.2,570.2,597.7
2006.10.01,598.2,610.6,559.2,606.1
2006.11.01,606,648.2,605.1,647.2
2006.12.01,646.1,649.6,611.1,636.2
2007.01.01,638.2,654.2,601.5,652.7
2007.02.01,652.5,688.1,642.7,669.1
2007.03.01,673.2,677,632.5,663.2
2007.04.01,664.5,693.3,655.9,677.7
2007.05.01,677.9,690.4,651.5,660.5
2007.06.01,661.2,673.6,639.8,649.1
2007.07.01,650.1,687.5,645,663.5
2007.08.01,663.4,676.4,641.6,672.8
2007.09.01,672.5,745.4,671,742.9
2007.10.01,743.7,797,720.3,796.1
2007.11.01,797.9,845.4,772.5,782.7
2007.12.01,784.6,841.8,776.8,831.8
2008.01.01,841,936.7,839.5,924.5
2008.02.01,923.9,975.8,883.9,973.5
2008.03.01,976.1,1032.2,904.4,915.8
2008.04.01,915.4,952.4,862.2,876.7
